date,team,opponent,points_for,points_against,is_home,win
2004-10-22,1610612737,1610612748,82.0,113.0,1,0
2004-10-23,1610612737,1610612763,72.0,100.0,0,0
2004-11-03,1610612737,1610612756,82.0,112.0,0,0
2004-11-05,1610612737,1610612760,85.0,106.0,0,0
2004-11-07,1610612737,1610612747,90.0,106.0,0,0
2004-11-09,1610612737,1610612739,79.0,93.0,1,0
2004-11-12,1610612737,1610612740,96.0,95.0,0,1
2004-11-13,1610612737,1610612759,88.0,103.0,1,0
2004-11-16,1610612737,1610612745,88.0,84.0,1,1
2004-11-17,1610612737,1610612754,86.0,93.0,0,0
2004-11-20,1610612737,1610612762,79.0,92.0,1,0
2004-11-23,1610612737,1610612752,88.0,104.0,0,0
2004-11-24,1610612737,1610612748,93.0,99.0,1,0
2004-11-26,1610612737,1610612753,99.0,117.0,1,0
2004-11-27,1610612737,1610612766,92.0,107.0,0,0
2004-11-30,1610612737,1610612752,109.0,110.0,1,0
2004-12-03,1610612737,1610612764,90.0,114.0,1,0
2004-12-04,1610612737,1610612751,88.0,109.0,0,0
2004-12-06,1610612737,1610612755,96.0,92.0,1,1
2004-12-08,1610612737,1610612763,89.0,97.0,1,0
2004-12-10,1610612737,1610612765,88.0,72.0,0,1
2004-12-11,1610612737,1610612751,90.0,95.0,1,0
2004-12-14,1610612737,1610612754,97.0,108.0,1,0
2004-12-15,1610612737,1610612745,69.0,92.0,0,0
2004-12-17,1610612737,1610612757,84.0,100.0,1,0
2004-12-18,1610612737,1610612742,68.0,90.0,0,0
2004-12-22,1610612737,1610612742,113.0,100.0,1,1
2004-12-27,1610612737,1610612748,102.0,116.0,0,0
2004-12-28,1610612737,1610612739,102.0,111.0,1,0
2004-12-30,1610612737,1610612760,79.0,94.0,1,0
2005-01-02,1610612737,1610612764,101.0,104.0,0,0
2005-01-05,1610612737,1610612739,85.0,101.0,0,0
2005-01-07,1610612737,1610612758,97.0,100.0,1,0
2005-01-11,1610612737,1610612749,103.0,80.0,1,1
2005-01-14,1610612737,1610612738,94.0,106.0,0,0
2005-01-15,1610612737,1610612766,103.0,95.0,1,1
2005-01-17,1610612737,1610612751,84.0,85.0,1,0
2005-01-19,1610612737,1610612748,92.0,111.0,0,0
2005-01-21,1610612737,1610612741,85.0,95.0,0,0
2005-01-22,1610612737,1610612738,100.0,96.0,1,1
2005-01-24,1610612737,1610612741,82.0,107.0,1,0
2005-01-26,1610612737,1610612750,87.0,104.0,0,0
2005-01-28,1610612737,1610612748,96.0,106.0,1,0
2005-01-29,1610612737,1610612763,83.0,84.0,0,0
2005-01-31,1610612737,1610612753,80.0,79.0,1,1
2005-02-02,1610612737,1610612765,84.0,99.0,0,0
2005-02-04,1610612737,1610612755,85.0,103.0,0,0
2005-02-05,1610612737,1610612754,79.0,84.0,1,0
2005-02-07,1610612737,1610612747,114.0,108.0,1,1
2005-02-10,1610612737,1610612753,96.0,101.0,0,0
2005-02-12,1610612737,1610612749,83.0,113.0,0,0
2005-02-15,1610612737,1610612743,96.0,100.0,1,0
2005-02-16,1610612737,1610612739,89.0,111.0,0,0
2005-02-22,1610612737,1610612758,104.0,114.0,0,0
2005-02-23,1610612737,1610612744,96.0,101.0,0,0
2005-02-25,1610612737,1610612757,101.0,102.0,0,0
2005-02-27,1610612737,1610612746,104.0,111.0,0,0
2005-03-01,1610612737,1610612743,74.0,97.0,0,0
2005-03-02,1610612737,1610612762,74.0,96.0,0,0
2005-03-05,1610612737,1610612755,97.0,98.0,1,0
2005-03-08,1610612737,1610612749,101.0,105.0,0,0
2005-03-09,1610612737,1610612738,91.0,95.0,0,0
2005-03-11,1610612737,1610612761,116.0,112.0,0,1
2005-03-12,1610612737,1610612744,92.0,105.0,1,0
2005-03-14,1610612737,1610612765,108.0,114.0,1,0
2005-03-16,1610612737,1610612764,93.0,122.0,1,0
2005-03-18,1610612737,1610612752,92.0,106.0,1,0
2005-03-21,1610612737,1610612741,91.0,105.0,0,0
2005-03-22,1610612737,1610612756,94.0,105.0,1,0
2005-03-25,1610612737,1610612759,95.0,111.0,0,0
2005-03-26,1610612737,1610612761,104.0,109.0,1,0
2005-03-28,1610612737,1610612753,102.0,109.0,0,0
2005-03-30,1610612737,1610612764,99.0,102.0,0,0
2005-04-01,1610612737,1610612738,100.0,116.0,1,0
2005-04-03,1610612737,1610612746,91.0,111.0,1,0
2005-04-05,1610612737,1610612740,86.0,96.0,1,0
2005-04-08,1610612737,1610612761,101.0,109.0,0,0
2005-04-09,1610612737,1610612750,105.0,98.0,1,1
2005-04-11,1610612737,1610612766,105.0,110.0,1,0
2005-04-13,1610612737,1610612766,84.0,105.0,0,0
2005-04-16,1610612737,1610612741,105.0,114.0,1,0
2005-04-17,1610612737,1610612752,139.0,135.0,0,1
2005-04-19,1610612737,1610612765,68.0,95.0,1,0
2005-04-20,1610612737,1610612755,86.0,110.0,0,0
2005-10-11,1610612737,1610612753,93.0,104.0,1,0
2005-10-12,1610612737,1610612766,109.0,105.0,1,1
2005-10-17,1610612737,1610612766,88.0,94.0,0,0
2005-10-18,1610612737,1610612740,97.0,94.0,0,1
2005-10-22,1610612737,1610612753,100.0,105.0,0,0
2005-10-24,1610612737,1610612748,83.0,84.0,0,0
2005-10-28,1610612737,1610612740,104.0,90.0,1,1
2005-11-02,1610612737,1610612744,97.0,122.0,0,0
2005-11-04,1610612737,1610612746,77.0,92.0,0,0
2005-11-05,1610612737,1610612757,93.0,94.0,0,0
2005-11-08,1610612737,1610612747,97.0,103.0,1,0
2005-11-10,1610612737,1610612746,95.0,102.0,1,0
2005-11-12,1610612737,1610612763,84.0,85.0,1,0
2005-11-15,1610612737,1610612759,79.0,103.0,0,0
2005-11-17,1610612737,1610612742,78.0,87.0,0,0
2005-11-18,1610612737,1610612740,92.0,95.0,0,0
2005-11-23,1610612737,1610612738,120.0,117.0,1,1
2005-11-25,1610612737,1610612754,87.0,85.0,0,1
2005-11-27,1610612737,1610612757,75.0,77.0,1,0
2005-11-29,1610612737,1610612745,85.0,100.0,0,0
2005-11-30,1610612737,1610612748,74.0,96.0,1,0
2005-12-02,1610612737,1610612761,101.0,102.0,1,0
2005-12-04,1610612737,1610612756,94.0,112.0,0,0
2005-12-06,1610612737,1610612743,116.0,125.0,0,0
2005-12-07,1610612737,1610612762,83.0,95.0,0,0
2005-12-10,1610612737,1610612759,94.0,84.0,1,1
2005-12-13,1610612737,1610612739,100.0,94.0,0,1
2005-12-14,1610612737,1610612755,101.0,106.0,0,0
2005-12-16,1610612737,1610612752,122.0,111.0,1,1
2005-12-18,1610612737,1610612743,110.0,107.0,1,1
2005-12-20,1610612737,1610612748,92.0,111.0,0,0
2005-12-23,1610612737,1610612755,111.0,108.0,1,1
2005-12-27,1610612737,1610612766,90.0,93.0,1,0
2005-12-28,1610612737,1610612761,102.0,108.0,0,0
2005-12-30,1610612737,1610612751,91.0,99.0,0,0
2006-01-03,1610612737,1610612761,97.0,108.0,1,0
2006-01-06,1610612737,1610612738,103.0,98.0,0,1
2006-01-07,1610612737,1610612740,101.0,93.0,1,1
2006-01-10,1610612737,1610612738,94.0,98.0,1,0
2006-01-11,1610612737,1610612764,72.0,103.0,0,0
2006-01-13,1610612737,1610612752,94.0,105.0,0,0
2006-01-14,1610612737,1610612764,106.0,114.0,1,0
2006-01-16,1610612737,1610612745,94.0,83.0,1,1
2006-01-18,1610612737,1610612765,89.0,117.0,1,0
2006-01-20,1610612737,1610612749,102.0,118.0,1,0
2006-01-23,1610612737,1610612754,104.0,94.0,1,1
2006-01-25,1610612737,1610612739,97.0,106.0,1,0
2006-01-27,1610612737,1610612756,106.0,110.0,1,0
2006-01-28,1610612737,1610612741,99.0,111.0,0,0
2006-01-30,1610612737,1610612752,120.0,101.0,1,1
2006-02-01,1610612737,1610612766,102.0,92.0,0,1
2006-02-03,1610612737,1610612753,96.0,94.0,1,1
2006-02-04,1610612737,1610612764,85.0,98.0,0,0
2006-02-07,1610612737,1610612765,99.0,98.0,1,1
2006-02-10,1610612737,1610612760,91.0,99.0,0,0
2006-02-12,1610612737,1610612758,84.0,109.0,0,0
2006-02-15,1610612737,1610612747,114.0,110.0,0,1
2006-02-21,1610612737,1610612765,87.0,97.0,0,0
2006-02-22,1610612737,1610612760,109.0,114.0,1,0
2006-02-24,1610612737,1610612754,117.0,112.0,0,1
2006-02-25,1610612737,1610612749,89.0,99.0,1,0
2006-02-27,1610612737,1610612751,104.0,102.0,1,1
2006-03-01,1610612737,1610612761,113.0,111.0,0,1
2006-03-03,1610612737,1610612758,93.0,102.0,1,0
2006-03-04,1610612737,1610612748,93.0,95.0,0,0
2006-03-07,1610612737,1610612744,113.0,106.0,1,1
2006-03-11,1610612737,1610612741,90.0,95.0,1,0
2006-03-13,1610612737,1610612749,87.0,88.0,0,0
2006-03-15,1610612737,1610612752,117.0,121.0,0,0
2006-03-17,1610612737,1610612762,101.0,111.0,1,0
2006-03-19,1610612737,1610612753,108.0,107.0,1,1
2006-03-20,1610612737,1610612765,84.0,91.0,0,0
2006-03-22,1610612737,1610612755,106.0,115.0,0,0
2006-03-25,1610612737,1610612742,83.0,98.0,1,0
2006-03-26,1610612737,1610612753,101.0,108.0,0,0
2006-03-28,1610612737,1610612766,117.0,125.0,0,0
2006-03-29,1610612737,1610612754,94.0,93.0,1,1
2006-03-31,1610612737,1610612751,88.0,91.0,1,0
2006-04-02,1610612737,1610612763,87.0,98.0,0,0
2006-04-04,1610612737,1610612751,94.0,96.0,0,0
2006-04-05,1610612737,1610612750,101.0,99.0,1,1
2006-04-07,1610612737,1610612764,114.0,101.0,1,1
2006-04-09,1610612737,1610612750,83.0,84.0,0,0
2006-04-10,1610612737,1610612753,88.0,105.0,0,0
2006-04-12,1610612737,1610612741,90.0,96.0,1,0
2006-04-14,1610612737,1610612766,110.0,116.0,1,0
2006-04-15,1610612737,1610612749,120.0,114.0,0,1
2006-04-18,1610612737,1610612748,103.0,100.0,1,1
2006-04-19,1610612737,1610612739,99.0,100.0,0,0
2006-10-11,1610612737,1610612763,108.0,91.0,0,1
2006-10-13,1610612737,1610612745,93.0,107.0,0,0
2006-10-14,1610612737,1610612748,91.0,81.0,1,1
2006-10-17,1610612737,1610612753,100.0,96.0,0,1
2006-10-19,1610612737,1610612753,88.0,109.0,1,0
2006-10-21,1610612737,1610612739,90.0,88.0,0,1
2006-10-23,1610612737,1610612764,105.0,110.0,1,0
2006-10-27,1610612737,1610612766,105.0,94.0,1,1
2006-11-01,1610612737,1610612755,75.0,88.0,0,0
2006-11-03,1610612737,1610612752,102.0,92.0,1,1
2006-11-05,1610612737,1610612753,95.0,82.0,1,1
2006-11-07,1610612737,1610612739,104.0,95.0,0,1
2006-11-10,1610612737,1610612761,111.0,102.0,0,1
2006-11-11,1610612737,1610612760,112.0,113.0,1,0
2006-11-14,1610612737,1610612749,101.0,103.0,1,0
2006-11-18,1610612737,1610612748,88.0,93.0,1,0
2006-11-22,1610612737,1610612765,98.0,103.0,0,0
2006-11-24,1610612737,1610612761,97.0,93.0,1,1
2006-11-25,1610612737,1610612753,79.0,98.0,0,0
2006-11-28,1610612737,1610612764,95.0,96.0,0,0
2006-11-29,1610612737,1610612766,99.0,90.0,1,1
2006-12-01,1610612737,1610612739,95.0,106.0,1,0
2006-12-03,1610612737,1610612757,107.0,96.0,0,1
2006-12-05,1610612737,1610612760,87.0,102.0,0,0
2006-12-06,1610612737,1610612743,98.0,96.0,0,1
2006-12-08,1610612737,1610612747,95.0,106.0,0,0
2006-12-10,1610612737,1610612758,92.0,117.0,0,0
2006-12-12,1610612737,1610612743,87.0,100.0,1,0
2006-12-13,1610612737,1610612752,82.0,94.0,0,0
2006-12-15,1610612737,1610612763,97.0,88.0,0,1
2006-12-16,1610612737,1610612741,104.0,106.0,1,0
2006-12-20,1610612737,1610612762,106.0,112.0,1,0
2006-12-22,1610612737,1610612754,90.0,100.0,1,0
2006-12-23,1610612737,1610612765,81.0,108.0,0,0
2006-12-27,1610612737,1610612739,76.0,89.0,1,0
2006-12-29,1610612737,1610612745,68.0,94.0,0,0
2006-12-31,1610612737,1610612759,81.0,95.0,0,0
2007-01-05,1610612737,1610612761,92.0,105.0,0,0
2007-01-06,1610612737,1610612746,86.0,74.0,1,1
2007-01-09,1610612737,1610612754,72.0,91.0,0,0
2007-01-10,1610612737,1610612740,77.0,96.0,1,0
2007-01-12,1610612737,1610612765,99.0,93.0,1,1
2007-01-15,1610612737,1610612738,100.0,96.0,1,1
2007-01-17,1610612737,1610612750,105.0,88.0,0,1
2007-01-19,1610612737,1610612766,75.0,96.0,1,0
2007-01-20,1610612737,1610612766,85.0,104.0,0,0
2007-01-23,1610612737,1610612741,86.0,94.0,0,0
2007-01-24,1610612737,1610612738,82.0,76.0,0,1
2007-01-26,1610612737,1610612753,93.0,90.0,0,1
2007-01-27,1610612737,1610612755,89.0,104.0,1,0
2007-01-29,1610612737,1610612753,93.0,83.0,1,1
2007-01-31,1610612737,1610612744,115.0,94.0,1,1
2007-02-02,1610612737,1610612761,91.0,103.0,1,0
2007-02-04,1610612737,1610612751,101.0,99.0,0,1
2007-02-05,1610612737,1610612747,83.0,90.0,1,0
2007-02-07,1610612737,1610612751,85.0,87.0,1,0
2007-02-09,1610612737,1610612756,120.0,111.0,0,1
2007-02-11,1610612737,1610612744,106.0,105.0,0,1
2007-02-12,1610612737,1610612762,76.0,102.0,0,0
2007-02-14,1610612737,1610612746,96.0,93.0,0,1
2007-02-20,1610612737,1610612741,81.0,106.0,0,0
2007-02-21,1610612737,1610612759,96.0,103.0,1,0
2007-02-23,1610612737,1610612745,105.0,99.0,1,1
2007-02-25,1610612737,1610612756,106.0,115.0,1,0
2007-02-26,1610612737,1610612742,87.0,110.0,0,0
2007-02-28,1610612737,1610612740,100.0,107.0,0,0
2007-03-02,1610612737,1610612764,92.0,93.0,0,0
2007-03-03,1610612737,1610612752,100.0,104.0,1,0
2007-03-05,1610612737,1610612748,81.0,88.0,0,0
2007-03-07,1610612737,1610612764,100.0,97.0,1,1
2007-03-09,1610612737,1610612763,106.0,105.0,1,1
2007-03-10,1610612737,1610612750,99.0,93.0,1,1
2007-03-13,1610612737,1610612755,104.0,92.0,1,1
2007-03-14,1610612737,1610612738,88.0,109.0,0,0
2007-03-17,1610612737,1610612754,90.0,113.0,0,0
2007-03-19,1610612737,1610612758,99.0,76.0,1,1
2007-03-21,1610612737,1610612748,83.0,91.0,1,0
2007-03-23,1610612737,1610612757,100.0,102.0,1,0
2007-03-25,1610612737,1610612742,97.0,104.0,1,0
2007-03-26,1610612737,1610612748,89.0,106.0,0,0
2007-03-28,1610612737,1610612766,87.0,101.0,0,0
2007-04-01,1610612737,1610612741,97.0,105.0,1,0
2007-04-04,1610612737,1610612751,86.0,101.0,0,0
2007-04-06,1610612737,1610612749,115.0,102.0,1,1
2007-04-08,1610612737,1610612755,104.0,109.0,0,0
2007-04-10,1610612737,1610612738,104.0,96.0,1,1
2007-04-13,1610612737,1610612764,85.0,98.0,1,0
2007-04-14,1610612737,1610612739,76.0,110.0,0,0
2007-04-16,1610612737,1610612749,96.0,102.0,0,0
2007-04-17,1610612737,1610612754,118.0,102.0,1,1
2007-10-08,1610612737,1610612753,94.0,93.0,0,1
2007-10-10,1610612737,1610612748,106.0,100.0,0,1
2007-10-11,1610612737,1610612766,109.0,104.0,1,1
2007-10-14,1610612737,1610612757,89.0,102.0,1,0
2007-10-16,1610612737,1610612750,103.0,77.0,1,1
2007-10-18,1610612737,1610612766,104.0,98.0,0,1
2007-10-22,1610612737,1610612764,103.0,99.0,1,1
2007-10-24,1610612737,1610612740,107.0,98.0,0,1
2007-11-02,1610612737,1610612742,101.0,94.0,1,1
2007-11-04,1610612737,1610612765,91.0,92.0,0,0
2007-11-06,1610612737,1610612751,82.0,87.0,0,0
2007-11-07,1610612737,1610612756,105.0,96.0,1,1
2007-11-09,1610612737,1610612738,83.0,106.0,0,0
2007-11-11,1610612737,1610612764,90.0,101.0,1,0
2007-11-14,1610612737,1610612766,117.0,109.0,1,1
2007-11-16,1610612737,1610612760,123.0,126.0,1,0
2007-11-17,1610612737,1610612749,96.0,105.0,0,0
2007-11-20,1610612737,1610612759,83.0,95.0,1,0
2007-11-21,1610612737,1610612748,82.0,79.0,0,1
2007-11-24,1610612737,1610612750,94.0,87.0,0,1
2007-11-27,1610612737,1610612741,78.0,90.0,0,0
2007-11-28,1610612737,1610612749,96.0,80.0,1,1
2007-11-30,1610612737,1610612740,86.0,92.0,1,0
2007-12-03,1610612737,1610612755,88.0,79.0,0,1
2007-12-04,1610612737,1610612765,95.0,106.0,1,0
2007-12-06,1610612737,1610612750,90.0,89.0,1,1
2007-12-08,1610612737,1610612763,86.0,78.0,1,1
2007-12-10,1610612737,1610612753,98.0,87.0,0,1
2007-12-11,1610612737,1610612761,88.0,100.0,1,0
2007-12-14,1610612737,1610612765,81.0,91.0,0,0
2007-12-15,1610612737,1610612766,93.0,84.0,1,1
2007-12-17,1610612737,1610612762,116.0,111.0,1,1
2007-12-19,1610612737,1610612748,114.0,111.0,1,1
2007-12-21,1610612737,1610612764,97.0,92.0,0,1
2007-12-26,1610612737,1610612754,107.0,95.0,1,1
2007-12-29,1610612737,1610612742,84.0,97.0,0,0
2008-01-02,1610612737,1610612739,94.0,98.0,0,0
2008-01-04,1610612737,1610612754,91.0,113.0,0,0
2008-01-05,1610612737,1610612751,107.0,113.0,1,0
2008-01-09,1610612737,1610612739,90.0,81.0,1,1
2008-01-11,1610612737,1610612764,98.0,102.0,1,0
2008-01-13,1610612737,1610612741,105.0,84.0,1,1
2008-01-15,1610612737,1610612743,104.0,93.0,1,1
2008-01-16,1610612737,1610612749,80.0,87.0,0,0
2008-01-18,1610612737,1610612761,78.0,89.0,0,0
2008-01-21,1610612737,1610612757,109.0,111.0,1,0
2008-01-23,1610612737,1610612743,100.0,107.0,0,0
2008-01-25,1610612737,1610612760,99.0,90.0,0,1
2008-01-27,1610612737,1610612757,93.0,94.0,0,0
2008-01-29,1610612737,1610612756,92.0,125.0,0,0
2008-01-30,1610612737,1610612746,88.0,95.0,0,0
2008-02-02,1610612737,1610612751,104.0,92.0,1,1
2008-02-04,1610612737,1610612755,96.0,91.0,1,1
2008-02-06,1610612737,1610612747,98.0,95.0,1,1
2008-02-08,1610612737,1610612739,95.0,100.0,1,0
2008-02-09,1610612737,1610612745,89.0,108.0,0,0
2008-02-12,1610612737,1610612765,90.0,94.0,1,0
2008-02-13,1610612737,1610612766,98.0,100.0,0,0
2008-02-19,1610612737,1610612747,93.0,122.0,0,0
2008-02-20,1610612737,1610612758,107.0,119.0,0,0
2008-02-22,1610612737,1610612744,117.0,110.0,0,1
2008-02-23,1610612737,1610612762,94.0,100.0,0,0
2008-02-25,1610612737,1610612759,74.0,89.0,0,0
2008-02-27,1610612737,1610612758,123.0,117.0,1,1
2008-02-29,1610612737,1610612752,99.0,93.0,1,1
2008-03-02,1610612737,1610612738,88.0,98.0,0,0
2008-03-04,1610612737,1610612744,118.0,135.0,1,0
2008-03-05,1610612737,1610612740,101.0,116.0,0,0
2008-03-07,1610612737,1610612766,93.0,108.0,0,0
2008-03-08,1610612737,1610612748,97.0,94.0,1,1
2008-03-10,1610612737,1610612753,112.0,123.0,0,0
2008-03-12,1610612737,1610612745,75.0,83.0,1,0
2008-03-14,1610612737,1610612746,117.0,93.0,1,1
2008-03-16,1610612737,1610612752,109.0,98.0,0,1
2008-03-17,1610612737,1610612764,105.0,96.0,0,1
2008-03-19,1610612737,1610612751,117.0,125.0,0,0
2008-03-22,1610612737,1610612753,98.0,90.0,1,1
2008-03-25,1610612737,1610612741,94.0,103.0,0,0
2008-03-26,1610612737,1610612749,115.0,96.0,1,1
2008-03-28,1610612737,1610612741,106.0,103.0,1,1
2008-03-30,1610612737,1610612752,114.0,109.0,1,1
2008-03-31,1610612737,1610612763,116.0,99.0,0,1
2008-04-02,1610612737,1610612761,127.0,120.0,1,1
2008-04-04,1610612737,1610612755,104.0,109.0,1,0
2008-04-05,1610612737,1610612755,92.0,85.0,0,1
2008-04-08,1610612737,1610612754,98.0,112.0,0,0
2008-04-11,1610612737,1610612752,116.0,104.0,0,1
2008-04-12,1610612737,1610612738,89.0,99.0,1,0
2008-04-15,1610612737,1610612753,105.0,121.0,1,0
2008-04-16,1610612737,1610612748,99.0,113.0,0,0
2008-04-20,1610612737,1610612738,81.0,104.0,0,0
2008-04-23,1610612737,1610612738,77.0,96.0,0,0
2008-04-26,1610612737,1610612738,102.0,93.0,1,1
2008-04-28,1610612737,1610612738,97.0,92.0,1,1
2008-04-30,1610612737,1610612738,85.0,110.0,0,0
2008-05-02,1610612737,1610612738,103.0,100.0,1,1
2008-05-04,1610612737,1610612738,65.0,99.0,0,0
2008-10-06,1610612737,1610612753,118.0,101.0,0,1
2008-10-08,1610612737,1610612756,100.0,96.0,0,1
2008-10-10,1610612737,1610612757,80.0,102.0,0,0
2008-10-13,1610612737,1610612766,88.0,87.0,1,1
2008-10-15,1610612737,1610612756,100.0,102.0,1,0
2008-10-18,1610612737,1610612766,102.0,96.0,0,1
2008-10-20,1610612737,1610612753,103.0,109.0,1,0
2008-10-23,1610612737,1610612765,88.0,87.0,0,1
2008-10-29,1610612737,1610612753,99.0,85.0,0,1
2008-11-01,1610612737,1610612755,95.0,88.0,1,1
2008-11-05,1610612737,1610612740,87.0,79.0,0,1
2008-11-07,1610612737,1610612761,110.0,92.0,1,1
2008-11-09,1610612737,1610612760,89.0,85.0,0,1
2008-11-11,1610612737,1610612741,113.0,108.0,0,1
2008-11-12,1610612737,1610612738,102.0,103.0,0,0
2008-11-14,1610612737,1610612751,108.0,115.0,0,0
2008-11-15,1610612737,1610612751,107.0,119.0,1,0
2008-11-18,1610612737,1610612754,96.0,113.0,0,0
2008-11-19,1610612737,1610612764,91.0,87.0,1,1
2008-11-21,1610612737,1610612766,88.0,83.0,1,1
2008-11-22,1610612737,1610612739,96.0,110.0,0,0
2008-11-26,1610612737,1610612749,102.0,96.0,1,1
2008-11-28,1610612737,1610612761,88.0,93.0,0,0
2008-11-29,1610612737,1610612764,102.0,98.0,0,1
2008-12-03,1610612737,1610612763,105.0,95.0,1,1
2008-12-05,1610612737,1610612752,98.0,95.0,1,1
2008-12-06,1610612737,1610612742,98.0,100.0,0,0
2008-12-09,1610612737,1610612745,84.0,92.0,0,0
2008-12-10,1610612737,1610612759,89.0,95.0,0,0
2008-12-12,1610612737,1610612748,87.0,73.0,0,1
2008-12-13,1610612737,1610612739,97.0,92.0,1,1
2008-12-15,1610612737,1610612766,83.0,79.0,1,1
2008-12-17,1610612737,1610612738,85.0,88.0,1,0
2008-12-19,1610612737,1610612744,115.0,99.0,1,1
2008-12-21,1610612737,1610612765,85.0,78.0,1,1
2008-12-23,1610612737,1610612760,99.0,88.0,1,1
2008-12-27,1610612737,1610612741,129.0,117.0,1,1
2008-12-29,1610612737,1610612743,109.0,91.0,1,1
